/,,,,,개발자 전달용 피그마 : https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2104-23870&t=MlhrLKl52ZbixSEe-1,,,,
프로젝트 명,픽랩,,,,,,,,
작성자,이다은,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,사전 조건 (Precondition),디스플레이,재현 경로 ,재현 결과 (이미지),기대 결과,발생 빈도,반영작업 여부,비고
,,비로그인,WEB,메인화면  > 공고상세,,"공고이름 font size: 28px(title2 Bold)
기관명 font size: 20px(Heading 2 Medium)

으로 수정하여 노출
",100,반영,
,,비로그인,WEB,메인화면  > 공고상세,,font size: 14px(Body 3 Medium) 사용하여 노출,100,반영,
,,비로그인,WEB,메인화면  > 공고상세,,이미지 없을 경우  텍스트 내용만 노출,100,반영,
,,비로그인,WEB,메인화면  > 공고상세 > 상세내용,,"타이틀 font size: 24px( Title 3 Bold )

단락별 간격: 36px
",100,반영,
,,비로그인,WEB,메인화면  > 공고상세 > 리뷰,,"
디자인 참고하여 수정하여 노출

피그마 화면 링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2408-26558&t=qhHjSk3mhrpHNVpD-1",100,반영,
,,비로그인,WEB,메인화면  > 공고상세 > 리뷰,,"삭제하여 노출

피그마 링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2408-26558&t=qhHjSk3mhrpHNVpD-1",100,반영,
,,비로그인,WEB,메인화면  > 공고상세 > 리뷰,,50px로 수정하여 노출,100,반영,
,,비로그인,WEB,메인화면  > 공고상세 > 리뷰,,24px로 수정하여 노출,100,반영,
,,비로그인,WEB,메인화면  > 공고상세 > 리뷰,,너비값: 132px로 수정하여 노출,100,반영,
,,비로그인,WEB,메인화면  > 공고상세 > 리뷰,,"좌우: 40px / 위아래: 28px

수정하야 노출",100,반영,
,,비로그인,WEB,메인화면  > 공고상세 > 리뷰,,"총 평점 font size: 24px (Title 3 Bold) 로 수정하여 노출.

총 평점의 별점 사이즈: 40px로 수정하여 노출",100,반영,
,,비로그인,WEB,메인화면  > 공고상세 > 리뷰,,20px로 수정하여 노츌,100,반영,
,,비로그인,WEB,메인화면  > 공고상세 > 리뷰,,"내용 블러처리 + 버튼 추가하여 노출

링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2408-26558&t=MiiZ000QA2YZGhnN-1",100,반영,
,,비로그인,MOBILE,메인화면 > 간편 로그인,,margin-top : 60px 으로 변경되어 노출,100,반영,
,,비로그인,MOBILE,메인화면 > 로그인 > 회원가입,,간편 회원가입' 모바일버전 노출,100,반영,
,,비로그인,MOBILE,메인화면,,드롭다운 너비 160px로 노출,100,반영,
,,비로그인,MOBILE,메인화면,,00직무를 위한 추천 활동' 섹션 비노출,100,반영,
,,비로그인,MOBILE,메인화면,,tab bar의 회색라인이 끝까지 보여지게 노출,100,반영,
,,비로그인,MOBILE,메인화면,,"검색바 클릭시 'search' 화면으로 노출
링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2107-20308&t=EUy8M3mb7S08aaXf-1",100,반영,
,,,,,,,,반영,
,,,,,,,,반영,
,,,,,,,,반영,
,,,,,,,,반영,
,,,,,,,,반영,
,,,,,,,,반영,
,,,,,,,,반영,
,,,,,,,,반영,
,,,,,,,,반영,
,,,,,,,,반영,
,,,,,,,,반영,
